Image,Red Percentage,Magnitude
contourf_402.png,4.02,8.5
contourf_668.png,3.81,8.6
contourf_667.png,3.51,8.6
contourf_547.png,3.20,8.6
contourf_261.png,3.08,8.8
contourf_568.png,3.00,8.6
contourf_669.png,2.90,8.7
contourf_873.png,2.89,8.9
contourf_241.png,2.77,8.9
contourf_298.png,2.52,9.0
contourf_486.png,2.50,9.0
contourf_853.png,2.47,8.9
contourf_223.png,2.45,8.6
contourf_120.png,2.43,8.6
contourf_831.png,2.42,8.8
contourf_528.png,2.40,8.8
contourf_648.png,2.38,8.9
contourf_609.png,2.36,8.7
contourf_287.png,2.36,8.8
contourf_664.png,2.31,8.9
contourf_354.png,2.30,8.5
contourf_801.png,2.30,8.6
contourf_729.png,2.29,8.9
contourf_871.png,2.28,8.5
contourf_612.png,2.26,8.8
contourf_195.png,2.19,8.5
contourf_578.png,2.18,9.0
contourf_535.png,2.16,8.5
contourf_361.png,2.15,9.0
contourf_5.png,2.14,8.9
contourf_483.png,2.11,8.9
contourf_537.png,2.05,9.0
contourf_202.png,2.03,8.6
contourf_795.png,2.02,8.5
contourf_414.png,2.01,8.9
contourf_154.png,2.01,8.9
contourf_81.png,2.01,8.9
contourf_666.png,2.00,8.1
contourf_216.png,1.99,8.1
contourf_292.png,1.98,8.2
contourf_548.png,1.93,8.2
contourf_285.png,1.90,8.3
contourf_87.png,1.90,8.3
contourf_288.png,1.88,8.2
contourf_705.png,1.88,8.1
contourf_352.png,1.87,8.4
contourf_438.png,1.84,8.2
contourf_372.png,1.83,8.4
contourf_225.png,1.82,8.2
contourf_393.png,1.82,8.2
contourf_86.png,1.82,8.0
contourf_230.png,1.81,8.5
contourf_857.png,1.80,8.1
contourf_540.png,1.80,8.4
contourf_672.png,1.80,8.3
contourf_813.png,1.77,8.0
contourf_865.png,1.76,8.3
contourf_321.png,1.75,8.4
contourf_555.png,1.74,8.0
contourf_618.png,1.73,8.3
contourf_794.png,1.71,8.1
contourf_798.png,1.70,8.1
contourf_546.png,1.68,8.1
contourf_588.png,1.66,8.2
contourf_660.png,1.65,8.3
contourf_866.png,1.64,8.2
contourf_369.png,1.63,8.1
contourf_26.png,1.63,8.1
contourf_73.png,1.62,8.1
contourf_304.png,1.60,8.2
contourf_761.png,1.59,8.3
contourf_208.png,1.59,8.1
contourf_506.png,1.58,8.1
contourf_212.png,1.58,8.5
contourf_784.png,1.57,8.1
contourf_318.png,1.57,8.3
contourf_712.png,1.56,8.2
contourf_76.png,1.56,8.4
contourf_731.png,1.56,8.1
contourf_132.png,1.55,8.3
contourf_585.png,1.54,8.2
contourf_283.png,1.54,8.2
contourf_19.png,1.53,8.3
contourf_46.png,1.52,8.2
contourf_153.png,1.52,8.2
contourf_112.png,1.51,8.3
contourf_632.png,1.50,8.4
contourf_284.png,1.50,8.0
contourf_47.png,1.48,8.0
contourf_604.png,1.48,8.4
contourf_627.png,1.47,8.4
contourf_347.png,1.47,8.2
contourf_82.png,1.46,8.1
contourf_586.png,1.46,8.3
contourf_252.png,1.44,8.4
contourf_156.png,1.44,8.0
contourf_598.png,1.44,8.4
contourf_657.png,1.41,8.0
contourf_435.png,1.41,8.0
contourf_405.png,1.40,8.2
contourf_735.png,1.40,8.4
contourf_772.png,1.40,7.3
contourf_832.png,1.40,7.6
contourf_339.png,1.39,7.8
contourf_210.png,1.39,7.6
contourf_756.png,1.38,7.6
contourf_373.png,1.38,7.9
contourf_615.png,1.37,7.4
contourf_128.png,1.37,7.6
contourf_779.png,1.36,7.0
contourf_74.png,1.34,7.5
contourf_324.png,1.34,7.9
contourf_626.png,1.33,7.2
contourf_188.png,1.32,7.7
contourf_12.png,1.31,7.4
contourf_49.png,1.30,7.6
contourf_424.png,1.30,8.0
